#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
,"
Asia
","214,177,844","+34,109","1,535,995",+199,"198,776,221","+42,580","13,865,628","15,540",,,,,,Asia,"
",,,,,,2023-02-24 22:52:50.662038
,"
North America
","124,454,659","+13,166","1,609,910",+100,"119,688,106","+39,469","3,156,643","7,752",,,,,,North America,"
",,,,,,2023-02-24 22:52:50.662038
,"
Europe
","246,116,716","+51,474","2,016,321",+223,"241,707,445","+28,487","2,392,950","6,461",,,,,,Europe,"
",,,,,,2023-02-24 22:52:50.662038
,"
South America
","67,966,089","+15,202","1,350,361",+141,"66,204,615","+7,649","411,113","10,195",,,,,,South America,"
",,,,,,2023-02-24 22:52:50.662038
,"
Oceania
","13,987,191","+2,961","26,076",+16,"13,826,284","+2,416","134,831",64,,,,,,Australia/Oceania,"
",,,,,,2023-02-24 22:52:50.662038
,"
Africa
","12,791,178",+424,"258,576",,"12,074,525",+101,"458,077",547,,,,,,Africa,"
",,,,,,2023-02-24 22:52:50.662038
,"

",721,,15,,706,,0,0,,,,,,,"
",,,,,,2023-02-24 22:52:50.662038
,World,"679,494,398","+117,336","6,797,254",+679,"652,277,902","+120,702","20,419,242","40,559","87,173",872.0,,,,All,"
",,,,,,2023-02-24 22:52:50.662038
1,China,"503,302",,"5,272                                ",,"379,053",,"118,977","7,557",347,4,"160,000,000","110,461","1,448,471,400                                ",Asia,"2,878","274,748",9,,,82,2023-02-24 22:52:50.662038
2,USA,"105,169,945","+8,922","1,144,441                                ",+73,"102,567,861","+34,979","1,457,643","2,588","314,123","3,418","1,164,027,866","3,476,731","334,805,269 ",North America,3,293,0,27,0.2,"4,354",2023-02-24 22:52:50.662038
3,India,"44,685,799",+180,"530,764                                ",,"44,152,945",+106,"2,090",N/A,"31,768",377,"918,324,498","652,854","1,406,631,776 ",Asia,31,"2,650",2,0.1,,1,2023-02-24 22:52:50.662038
4,France,"39,608,954","+3,917","164,877                                ",+29,"39,374,920","+3,293","69,157",869,"603,938","2,514","271,490,188","4,139,547","65,584,518 ",Europe,2,398,0,60,0.4,"1,054",2023-02-24 22:52:50.662038
5,Germany,"38,111,063","+20,974","167,812                                ",+89,"37,654,800",,"288,451",N/A,"454,333","2,001","122,332,384","1,458,359","83,883,596 ",Europe,2,500,1,250,1,"3,439",2023-02-24 22:52:50.662038
6,Brazil,"37,020,531","+11,587","698,928                                ",+94,"36,185,975","+6,329","135,628",N/A,"171,906","3,245","63,776,166","296,146","215,353,593 ",South America,6,308,3,54,0.4,630,2023-02-24 22:52:50.662038
7,Japan,"33,157,721","+6,512","72,134                                ",+83,"21,675,630","+2,474","11,409,957",183,"264,026",574,"94,827,129","755,084","125,584,838 ",Asia,4,"1,741",1,52,0.7,"90,855",2023-02-24 22:52:50.662038
8,S. Korea,"30,479,753","+10,051","33,929                                ",+20,"30,229,352","+5,828","216,472",183,"593,801",661,"15,804,065","307,892","51,329,899 ",Asia,2,"1,513",3,196,0.4,"4,217",2023-02-24 22:52:50.662038
