#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
,"
Asia
","214,313,979","+37,798","1,536,606",+145,"198,951,332","+42,190","13,826,041","15,508",,,,,,Asia,"
",,,,,,2023-02-28
,"
North America
","124,637,052","+15,277","1,611,713",+153,"119,821,223","+33,451","3,204,116","7,697",,,,,,North America,"
",,,,,,2023-02-28
,"
Europe
","246,314,543","+58,588","2,017,376",+270,"241,864,928","+53,421","2,432,239","6,469",,,,,,Europe,"
",,,,,,2023-02-28
,"
South America
","68,008,071","+16,260","1,350,603",+83,"66,272,525","+21,284","384,943","10,189",,,,,,South America,"
",,,,,,2023-02-28
,"
Oceania
","13,996,297",+5,"26,116",,"13,834,559",+1,"135,622",64,,,,,,Australia/Oceania,"
",,,,,,2023-02-28
,"
Africa
","12,794,303",+638,"258,582",+1,"12,075,221",+154,"460,500",548,,,,,,Africa,"
",,,,,,2023-02-28
,"

",721,,15,,706,,0,0,,,,,,,"
",,,,,,2023-02-28
,World,"680,064,966","+128,566","6,801,011",+652,"652,820,494","+150,501","20,443,461","40,475","87,246",872.5,,,,All,"
",,,,,,2023-02-28
1,China,"503,302",,"5,272                                ",,"379,053",,"118,977","7,557",347,4,"160,000,000","110,461","1,448,471,400                                ",Asia,"2,878","274,748",9,,,82,2023-02-28
2,USA,"105,332,164","+13,866","1,145,984                                ",+138,"102,682,399","+28,049","1,503,781","2,533","314,607","3,423","1,166,932,082","3,485,405","334,805,269 ",North America,3,292,0,41,0.4,"4,492",2023-02-28
3,India,"44,686,611",+240,"530,772                                ",+1,"44,153,504",+161,"2,335",N/A,"31,769",377,"918,679,922","653,106","1,406,631,776 ",Asia,31,"2,650",2,0.2,,2,2023-02-28
4,France,"39,622,231","+5,651","164,963                                ",+34,"39,387,179","+3,939","70,089",869,"604,140","2,515","271,490,188","4,139,547","65,584,518 ",Europe,2,398,0,86,0.5,"1,069",2023-02-28
5,Germany,"38,168,908","+24,875","168,086                                ",+135,"37,699,200","+19,800","301,622",N/A,"455,022","2,004","122,332,384","1,458,359","83,883,596 ",Europe,2,499,1,297,2,"3,596",2023-02-28
6,Brazil,"37,052,936","+14,706","699,087                                ",+81,"36,235,329","+18,918","118,520",N/A,"172,056","3,246","63,776,166","296,146","215,353,593 ",South America,6,308,3,68,0.4,550,2023-02-28
7,Japan,"33,205,088","+14,524","72,387                                ",+67,"21,684,955","+1,051","11,447,746",166,"264,404",576,"95,119,322","757,411","125,584,838 ",Asia,4,"1,735",1,116,0.5,"91,155",2023-02-28
8,S. Korea,"30,513,721","+10,817","33,977                                ",+16,"30,291,522","+13,489","188,222",164,"594,463",662,"15,804,065","307,892","51,329,899 ",Asia,2,"1,511",3,211,0.3,"3,667",2023-02-28
9,Italy,"25,576,852",,"188,094                                ",,"25,219,653",,"169,105",133,"424,422","3,121","267,663,187","4,441,601","60,262,770 ",Europe,2,320,0,,,"2,806",2023-02-28
