#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
,"
Asia
",214177844,34109.0,1535995.0,199.0,198776221.0,42580.0,13865628.0,15540.0,,,,,,Asia,,,,,,,2023-02-24
,"
North America
",124454659,13166.0,1609910.0,100.0,119688106.0,39469.0,3156643.0,7752.0,,,,,,North America,,,,,,,2023-02-24
,"
Europe
",246116716,51474.0,2016321.0,223.0,241707445.0,28487.0,2392950.0,6461.0,,,,,,Europe,,,,,,,2023-02-24
,"
South America
",67966089,15202.0,1350361.0,141.0,66204615.0,7649.0,411113.0,10195.0,,,,,,South America,,,,,,,2023-02-24
,"
Oceania
",13987191,2961.0,26076.0,16.0,13826284.0,2416.0,134831.0,64.0,,,,,,Australia/Oceania,,,,,,,2023-02-24
,"
Africa
",12791178,424.0,258576.0,,12074525.0,101.0,458077.0,547.0,,,,,,Africa,,,,,,,2023-02-24
,"

",721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,,2023-02-24
,World,679494398,117336.0,6797254.0,679.0,652277902.0,120702.0,20419242.0,40559.0,87173.0,8720.0,,,,All,,,,,,,2023-02-24
1.0,China,503302,,5272.0,,379053.0,,118977.0,7557.0,347.0,4.0,160000000.0,"110,461",1448471400.0,Asia,2878.0,274748.0,9.0,,,82.0,2023-02-24
2.0,USA,105169945,8922.0,1144441.0,73.0,102567861.0,34979.0,1457643.0,2588.0,314123.0,3418.0,1164027866.0,"3,476,731",334805269.0,North America,3.0,293.0,0.0,27.0,0.2,4354.0,2023-02-24
3.0,India,44685799,180.0,530764.0,,44152945.0,106.0,2090.0,,31768.0,377.0,918324498.0,"652,854",1406631776.0,Asia,31.0,2650.0,2.0,1.0,,1.0,2023-02-24
4.0,France,39608954,3917.0,164877.0,29.0,39374920.0,3293.0,69157.0,869.0,603938.0,2514.0,271490188.0,"4,139,547",65584518.0,Europe,2.0,398.0,0.0,60.0,0.4,1054.0,2023-02-24
5.0,Germany,38111063,20974.0,167812.0,89.0,37654800.0,,288451.0,,454333.0,2001.0,122332384.0,"1,458,359",83883596.0,Europe,2.0,500.0,1.0,250.0,1.0,3439.0,2023-02-24
6.0,Brazil,37020531,11587.0,698928.0,94.0,36185975.0,6329.0,135628.0,,171906.0,3245.0,63776166.0,"296,146",215353593.0,South America,6.0,308.0,3.0,54.0,0.4,630.0,2023-02-24
7.0,Japan,33157721,6512.0,72134.0,83.0,21675630.0,2474.0,11409957.0,183.0,264026.0,574.0,94827129.0,"755,084",125584838.0,Asia,4.0,1741.0,1.0,52.0,0.7,90855.0,2023-02-24
8.0,S. Korea,30479753,10051.0,33929.0,20.0,30229352.0,5828.0,216472.0,183.0,593801.0,661.0,15804065.0,"307,892",51329899.0,Asia,2.0,1513.0,3.0,196.0,0.4,4217.0,2023-02-24
9.0,Italy,25576852,,188094.0,,25219653.0,,169105.0,133.0,424422.0,3121.0,267663187.0,"4,441,601",60262770.0,Europe,2.0,320.0,0.0,,,2806.0,2023-02-24
